filename,problem,model,prompt_type,run_number,overall_passed,constraints_passed,constraints_total,error_count,structural_errors,logical_errors,attribute_errors,structural_constraints_passed,logical_constraints_passed,attribute_constraints_passed
directedSocialNetwork_Llama318B_directprompt_run2_output.json,DirectedSocialNetwork,Llama318B,directprompt,2,False,7,9,8,0,7,1,3,1,3
directedSocialNetwork_Llama318B_directprompt_run3_output.json,DirectedSocialNetwork,Llama318B,directprompt,3,False,6,9,9,0,8,1,3,0,3
directedSocialNetwork_Llama318B_directprompt_run4_output.json,DirectedSocialNetwork,Llama318B,directprompt,4,False,6,9,10,0,9,1,3,0,3
directedSocialNetwork_Llama318B_directprompt_run5_output.json,DirectedSocialNetwork,Llama318B,directprompt,5,False,6,9,10,0,9,1,3,0,3
directedSocialNetwork_Llama318B_iterativefeedback_run1_output.json,DirectedSocialNetwork,Llama318B,iterativefeedback,1,False,7,9,9,0,8,1,3,1,3
directedSocialNetwork_Llama318B_iterativefeedback_run2_output.json,DirectedSocialNetwork,Llama318B,iterativefeedback,2,False,7,9,11,0,10,1,3,1,3
directedSocialNetwork_Llama318B_iterativefeedback_run3_output.json,DirectedSocialNetwork,Llama318B,iterativefeedback,3,False,7,9,8,0,7,1,3,1,3
directedSocialNetwork_Llama318B_iterativefeedback_run4_output.json,DirectedSocialNetwork,Llama318B,iterativefeedback,4,False,5,9,12,1,10,1,2,0,3
directedSocialNetwork_Llama318B_iterativefeedback_run5_output.json,DirectedSocialNetwork,Llama318B,iterativefeedback,5,False,7,9,14,0,14,0,3,0,4
directedSocialNetwork_Llama318B_programaugmented_run1_output.json,DirectedSocialNetwork,Llama318B,programaugmented,1,False,5,9,9,0,7,2,3,0,2
directedSocialNetwork_Llama318B_programaugmented_run2_output.json,DirectedSocialNetwork,Llama318B,programaugmented,2,False,6,9,6,0,4,2,3,1,2
directedSocialNetwork_Llama318B_programaugmented_run3_output.json,DirectedSocialNetwork,Llama318B,programaugmented,3,False,6,9,11,0,10,1,3,0,3
directedSocialNetwork_Llama318B_programaugmented_run4_output.json,DirectedSocialNetwork,Llama318B,programaugmented,4,False,6,9,11,0,10,1,3,0,3
directedSocialNetwork_Llama318B_programaugmented_run5_output.json,DirectedSocialNetwork,Llama318B,programaugmented,5,False,5,9,7,0,5,2,3,0,2
directedSocialNetwork_Llama32_directprompt_run1_output.json,DirectedSocialNetwork,Llama32,directprompt,1,False,6,9,9,0,8,1,3,0,3
directedSocialNetwork_Llama32_directprompt_run2_output.json,DirectedSocialNetwork,Llama32,directprompt,2,False,6,9,9,0,8,1,3,0,3
directedSocialNetwork_Llama32_directprompt_run3_output.json,DirectedSocialNetwork,Llama32,directprompt,3,False,6,9,6,0,5,1,3,0,3
